date,ticker,change_noncommercial_long,change_noncommercial_short,change_nonrept_long,change_nonrept_short,change_noncommercial_delta,change_nonreportable_delta
2024-10-29,XAUUSD,-5177,12374,-782,2697,-17551,-3479
2024-10-22,XAUUSD,14319,4549,3724,1451,9770,2273
2024-10-15,XAUUSD,8603,349,-950,-1378,8254,428
2024-10-08,XAUUSD,-21160,591,-1751,46,-21751,-1797
2024-10-01,XAUUSD,-17521,-2062,-253,-3530,-15459,3277
2024-09-24,XAUUSD,17838,12514,468,1213,5324,-745
2024-09-17,XAUUSD,29728,2163,2039,1376,27565,663
2024-09-10,XAUUSD,849,5906,-261,-330,-5057,69
2024-09-03,XAUUSD,-4173,2714,-3491,54,-6887,-3545
2024-08-27,XAUUSD,-12221,-15413,1771,-850,3192,2621
2024-08-20,XAUUSD,26782,2793,2530,2515,23989,15
2024-08-13,XAUUSD,30650,2135,-817,4230,28515,-5047
2024-08-06,XAUUSD,-15245,-7393,1274,-2755,-7852,4029
2024-07-30,XAUUSD,-28236,-1763,-3774,-2179,-26473,-1595
2024-07-23,XAUUSD,-8227,3723,-109,-3680,-11950,3571
2024-07-16,XAUUSD,46784,16535,3191,4765,30249,-1574
2024-07-09,XAUUSD,22926,9694,2929,331,13232,2598
2024-07-02,XAUUSD,-4768,-82,-742,1261,-4686,-2003
2024-06-25,XAUUSD,-2262,-5407,777,164,3145,613
2024-06-18,XAUUSD,10378,1220,-2652,-713,9158,-1939
2024-06-11,XAUUSD,-7797,-4421,504,2548,-3376,-2044
2024-06-04,XAUUSD,-2171,-2888,-1721,-5985,717,4264
2024-05-28,XAUUSD,-13992,-20771,-3736,756,6779,-4492
2024-05-21,XAUUSD,23087,-2223,2631,1388,25310,1243
2024-05-14,XAUUSD,5498,569,-2068,-1983,4929,-85
2024-05-07,XAUUSD,-6706,-2063,4427,16,-4643,4411
2024-04-30,XAUUSD,-685,-2004,1360,2053,1319,-693
2024-04-23,XAUUSD,758,-210,-1331,-4477,968,3146
2024-04-16,XAUUSD,-1022,-526,-1314,14,-496,-1328
