Sample Size,Pattern Count,Sqrt_N,Min Clusters,Max Clusters,Optimal Clusters,Range Width,Optimal Ratio,Sqrt_Ratio,n_pips,lookback,Position_In_Range
1222,763,27,13,54,14,42,0.01834862385321101,0.5185185185185185,5,12,0.023809523809523808
1222,573,23,11,46,45,36,0.07853403141361257,1.9565217391304348,5,24,0.9444444444444444
1222,494,22,11,44,17,34,0.03441295546558704,0.7727272727272727,5,36,0.17647058823529413
1222,952,30,15,60,56,46,0.058823529411764705,1.8666666666666667,7,12,0.8913043478260869
1222,723,26,13,52,35,40,0.048409405255878286,1.3461538461538463,7,24,0.55
1222,670,25,12,50,42,39,0.0626865671641791,1.68,7,36,0.7692307692307693
1222,1086,32,16,64,16,49,0.014732965009208104,0.5,9,12,0.0
1222,820,28,14,56,51,43,0.06219512195121951,1.8214285714285714,9,24,0.8604651162790697
1222,744,27,13,54,41,42,0.05510752688172043,1.5185185185185186,9,36,0.6666666666666666
1748,634,25,12,50,43,39,0.06782334384858044,1.72,3,12,0.7948717948717948
1748,442,21,10,42,10,33,0.02262443438914027,0.47619047619047616,3,24,0.0
1748,351,18,9,36,15,28,0.042735042735042736,0.8333333333333334,3,36,0.21428571428571427
1748,1083,32,16,64,17,49,0.01569713758079409,0.53125,5,12,0.02040816326530612
1748,825,28,14,56,52,43,0.06303030303030303,1.8571428571428572,5,24,0.8837209302325582
1748,710,26,13,52,51,40,0.07183098591549296,1.9615384615384615,5,36,0.95
1748,1366,36,18,72,51,55,0.03733528550512445,1.4166666666666667,7,12,0.6
1748,1045,32,16,64,55,49,0.05263157894736842,1.71875,7,24,0.7959183673469388
1748,943,30,15,60,51,46,0.05408271474019088,1.7,7,36,0.782608695652174
1748,1551,39,19,78,41,60,0.026434558349451968,1.0512820512820513,9,12,0.36666666666666664
1748,1206,34,17,68,58,52,0.04809286898839138,1.7058823529411764,9,24,0.7884615384615384
1748,1073,32,16,64,63,49,0.05871388630009319,1.96875,9,36,0.9591836734693877
2500,899,29,14,58,49,45,0.054505005561735265,1.6896551724137931,3,12,0.7777777777777778
2500,645,25,12,50,13,39,0.020155038759689922,0.52,3,24,0.02564102564102564
2500,505,22,11,44,32,34,0.06336633663366337,1.4545454545454546,3,36,0.6176470588235294
2500,1565,39,19,78,58,60,0.03706070287539936,1.4871794871794872,5,12,0.65
2500,1184,34,17,68,58,52,0.048986486486486486,1.7058823529411764,5,24,0.7884615384615384
2500,1044,32,16,64,63,49,0.0603448275862069,1.96875,5,36,0.9591836734693877
2500,1952,44,22,88,76,67,0.0389344262295082,1.7272727272727273,7,12,0.8059701492537313
2500,1511,38,19,76,72,58,0.04765056254136334,1.894736842105263,7,24,0.9137931034482759
2500,1350,36,18,72,64,55,0.047407407407407405,1.7777777777777777,7,36,0.8363636363636363
2500,2225,47,23,94,26,72,0.011685393258426966,0.5531914893617021,9,12,0.041666666666666664
2500,1733,41,20,82,78,63,0.04500865551067513,1.9024390243902438,9,24,0.9206349206349206
2500,1553,39,19,78,71,60,0.04571796522858983,1.8205128205128205,9,36,0.8666666666666667
