Pattern Count,K,Silhouette Score,Is Optimal,Sample Size,n_pips,lookback
76,15,15,False,204,5,36
146,6,6,False,204,7,12
146,7,7,True,204,7,12
146,8,8,False,204,7,12
146,9,9,False,204,7,12
146,10,10,False,204,7,12
146,11,11,False,204,7,12
146,12,12,False,204,7,12
146,13,13,False,204,7,12
146,14,14,False,204,7,12
146,15,15,False,204,7,12
146,16,16,False,204,7,12
146,17,17,False,204,7,12
146,18,18,False,204,7,12
146,19,19,False,204,7,12
146,20,20,False,204,7,12
146,21,21,False,204,7,12
146,22,22,False,204,7,12
146,23,23,False,204,7,12
101,5,5,False,204,7,24
101,6,6,False,204,7,24
101,7,7,False,204,7,24
101,8,8,False,204,7,24
101,9,9,False,204,7,24
101,10,10,False,204,7,24
101,11,11,False,204,7,24
101,12,12,False,204,7,24
101,13,13,True,204,7,24
101,14,14,False,204,7,24
101,15,15,False,204,7,24
101,16,16,False,204,7,24
101,17,17,False,204,7,24
101,18,18,False,204,7,24
101,19,19,False,204,7,24
94,4,4,False,204,7,36
94,5,5,False,204,7,36
94,6,6,False,204,7,36
94,7,7,False,204,7,36
94,8,8,True,204,7,36
94,9,9,False,204,7,36
94,10,10,False,204,7,36
94,11,11,False,204,7,36
94,12,12,False,204,7,36
94,13,13,False,204,7,36
94,14,14,False,204,7,36
94,15,15,False,204,7,36
94,16,16,False,204,7,36
94,17,17,False,204,7,36
168,6,6,False,204,9,12
168,7,7,False,204,9,12
168,8,8,False,204,9,12
168,9,9,False,204,9,12
168,10,10,False,204,9,12
168,11,11,False,204,9,12
168,12,12,True,204,9,12
168,13,13,False,204,9,12
168,14,14,False,204,9,12
168,15,15,False,204,9,12
168,16,16,False,204,9,12
168,17,17,False,204,9,12
168,18,18,False,204,9,12
168,19,19,False,204,9,12
168,20,20,False,204,9,12
168,21,21,False,204,9,12
168,22,22,False,204,9,12
168,23,23,False,204,9,12
119,5,5,False,204,9,24
119,6,6,False,204,9,24
119,7,7,False,204,9,24
119,8,8,False,204,9,24
119,9,9,False,204,9,24
119,10,10,True,204,9,24
119,11,11,False,204,9,24
119,12,12,False,204,9,24
119,13,13,False,204,9,24
119,14,14,False,204,9,24
119,15,15,False,204,9,24
119,16,16,False,204,9,24
119,17,17,False,204,9,24
119,18,18,False,204,9,24
119,19,19,False,204,9,24
108,5,5,False,204,9,36
108,6,6,False,204,9,36
108,7,7,False,204,9,36
108,8,8,False,204,9,36
108,9,9,False,204,9,36
108,10,10,False,204,9,36
108,11,11,False,204,9,36
108,12,12,False,204,9,36
108,13,13,False,204,9,36
108,14,14,True,204,9,36
108,15,15,False,204,9,36
108,16,16,False,204,9,36
108,17,17,False,204,9,36
108,18,18,False,204,9,36
108,19,19,False,204,9,36
111,5,5,False,292,3,12
111,6,6,True,292,3,12
111,7,7,False,292,3,12
111,8,8,False,292,3,12
111,9,9,False,292,3,12
111,10,10,False,292,3,12
111,11,11,False,292,3,12
111,12,12,False,292,3,12
111,13,13,False,292,3,12
111,14,14,False,292,3,12
111,15,15,False,292,3,12
111,16,16,False,292,3,12
111,17,17,False,292,3,12
111,18,18,False,292,3,12
111,19,19,False,292,3,12
66,4,4,False,292,3,24
66,5,5,False,292,3,24
66,6,6,False,292,3,24
66,7,7,True,292,3,24
66,8,8,False,292,3,24
66,9,9,False,292,3,24
66,10,10,False,292,3,24
66,11,11,False,292,3,24
66,12,12,False,292,3,24
66,13,13,False,292,3,24
66,14,14,False,292,3,24
66,15,15,False,292,3,24
62,3,3,False,292,3,36
62,4,4,True,292,3,36
62,5,5,False,292,3,36
62,6,6,False,292,3,36
62,7,7,False,292,3,36
62,8,8,False,292,3,36
62,9,9,False,292,3,36
62,10,10,False,292,3,36
62,11,11,False,292,3,36
62,12,12,False,292,3,36
62,13,13,False,292,3,36
176,6,6,False,292,5,12
176,7,7,False,292,5,12
176,8,8,False,292,5,12
176,9,9,False,292,5,12
176,10,10,False,292,5,12
176,11,11,False,292,5,12
176,12,12,False,292,5,12
176,13,13,False,292,5,12
176,14,14,False,292,5,12
176,15,15,False,292,5,12
176,16,16,True,292,5,12
176,17,17,False,292,5,12
176,18,18,False,292,5,12
176,19,19,False,292,5,12
176,20,20,False,292,5,12
176,21,21,False,292,5,12
176,22,22,False,292,5,12
176,23,23,False,292,5,12
176,24,24,False,292,5,12
176,25,25,False,292,5,12
123,5,5,False,292,5,24
123,6,6,False,292,5,24
123,7,7,False,292,5,24
123,8,8,False,292,5,24
123,9,9,False,292,5,24
123,10,10,False,292,5,24
123,11,11,False,292,5,24
123,12,12,False,292,5,24
123,13,13,False,292,5,24
123,14,14,False,292,5,24
123,15,15,False,292,5,24
123,16,16,False,292,5,24
123,17,17,False,292,5,24
123,18,18,False,292,5,24
123,19,19,True,292,5,24
123,20,20,False,292,5,24
123,21,21,False,292,5,24
103,5,5,False,292,5,36
103,6,6,False,292,5,36
103,7,7,False,292,5,36
103,8,8,False,292,5,36
103,9,9,False,292,5,36
103,10,10,False,292,5,36
103,11,11,True,292,5,36
103,12,12,False,292,5,36
103,13,13,False,292,5,36
103,14,14,False,292,5,36
103,15,15,False,292,5,36
103,16,16,False,292,5,36
103,17,17,False,292,5,36
103,18,18,False,292,5,36
103,19,19,False,292,5,36
218,7,7,False,292,7,12
218,8,8,False,292,7,12
218,9,9,False,292,7,12
218,10,10,False,292,7,12
218,11,11,False,292,7,12
218,12,12,False,292,7,12
218,13,13,True,292,7,12
218,14,14,False,292,7,12
218,15,15,False,292,7,12
218,16,16,False,292,7,12
218,17,17,False,292,7,12
218,18,18,False,292,7,12
218,19,19,False,292,7,12
218,20,20,False,292,7,12
218,21,21,False,292,7,12
218,22,22,False,292,7,12
218,23,23,False,292,7,12
218,24,24,False,292,7,12
218,25,25,False,292,7,12
218,26,26,False,292,7,12
218,27,27,False,292,7,12
151,6,6,False,292,7,24
151,7,7,False,292,7,24
151,8,8,False,292,7,24
151,9,9,False,292,7,24
151,10,10,False,292,7,24
151,11,11,False,292,7,24
151,12,12,False,292,7,24
151,13,13,False,292,7,24
151,14,14,False,292,7,24
151,15,15,False,292,7,24
151,16,16,True,292,7,24
151,17,17,False,292,7,24
151,18,18,False,292,7,24
151,19,19,False,292,7,24
151,20,20,False,292,7,24
151,21,21,False,292,7,24
151,22,22,False,292,7,24
151,23,23,False,292,7,24
140,5,5,False,292,7,36
140,6,6,False,292,7,36
140,7,7,False,292,7,36
140,8,8,False,292,7,36
140,9,9,False,292,7,36
140,10,10,False,292,7,36
140,11,11,False,292,7,36
140,12,12,False,292,7,36
140,13,13,False,292,7,36
140,14,14,False,292,7,36
140,15,15,True,292,7,36
140,16,16,False,292,7,36
140,17,17,False,292,7,36
140,18,18,False,292,7,36
140,19,19,False,292,7,36
140,20,20,False,292,7,36
140,21,21,False,292,7,36
248,7,7,True,292,9,12
248,8,8,False,292,9,12
248,9,9,False,292,9,12
248,10,10,False,292,9,12
248,11,11,False,292,9,12
248,12,12,False,292,9,12
248,13,13,False,292,9,12
248,14,14,False,292,9,12
248,15,15,False,292,9,12
248,16,16,False,292,9,12
248,17,17,False,292,9,12
248,18,18,False,292,9,12
248,19,19,False,292,9,12
248,20,20,False,292,9,12
248,21,21,False,292,9,12
248,22,22,False,292,9,12
248,23,23,False,292,9,12
248,24,24,False,292,9,12
248,25,25,False,292,9,12
248,26,26,False,292,9,12
248,27,27,False,292,9,12
248,28,28,False,292,9,12
248,29,29,False,292,9,12
179,6,6,False,292,9,24
179,7,7,False,292,9,24
179,8,8,False,292,9,24
179,9,9,False,292,9,24
179,10,10,False,292,9,24
179,11,11,False,292,9,24
179,12,12,False,292,9,24
179,13,13,False,292,9,24
179,14,14,False,292,9,24
179,15,15,False,292,9,24
179,16,16,False,292,9,24
179,17,17,False,292,9,24
179,18,18,False,292,9,24
179,19,19,False,292,9,24
179,20,20,False,292,9,24
179,21,21,False,292,9,24
179,22,22,False,292,9,24
179,23,23,False,292,9,24
179,24,24,True,292,9,24
179,25,25,False,292,9,24
155,6,6,False,292,9,36
155,7,7,False,292,9,36
155,8,8,False,292,9,36
155,9,9,False,292,9,36
155,10,10,False,292,9,36
155,11,11,False,292,9,36
155,12,12,False,292,9,36
155,13,13,False,292,9,36
155,14,14,False,292,9,36
155,15,15,False,292,9,36
155,16,16,False,292,9,36
155,17,17,True,292,9,36
155,18,18,False,292,9,36
155,19,19,False,292,9,36
155,20,20,False,292,9,36
155,21,21,False,292,9,36
155,22,22,False,292,9,36
155,23,23,False,292,9,36
158,6,6,False,418,3,12
158,7,7,False,418,3,12
158,8,8,False,418,3,12
158,9,9,False,418,3,12
158,10,10,False,418,3,12
158,11,11,False,418,3,12
158,12,12,False,418,3,12
158,13,13,False,418,3,12
158,14,14,False,418,3,12
158,15,15,False,418,3,12
158,16,16,False,418,3,12
158,17,17,False,418,3,12
158,18,18,False,418,3,12
158,19,19,False,418,3,12
158,20,20,False,418,3,12
158,21,21,False,418,3,12
158,22,22,True,418,3,12
