Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,ExitReason,Duration,Tag
18,112,121,2023.90237,2035.1905550815286,2020.448983214655,2035.1905550815286,203.18733146751447,0.005577435576365586,2024-01-10 23:00:00,2024-01-11 09:00:00,tp,0 days 10:00:00,58
3,113,122,2026.9626759999999,2030.78,2020.7012227552036,2038.0507186602206,11.451972000000296,0.0018832729606710341,2024-01-11 01:00:00,2024-01-11 10:00:00,time,0 days 09:00:00,59
21,121,122,2034.073387,2031.0166291489788,2031.0166291489788,2044.7608450699324,-64.19191487144258,-0.0015027765814926708,2024-01-11 09:00:00,2024-01-11 10:00:00,sl,0 days 01:00:00,62
11,123,127,2031.543134,2026.0597130804338,2026.0597130804338,2040.651610829835,-60.31763011522867,-0.0026991407801268963,2024-01-11 11:00:00,2024-01-11 15:00:00,sl,0 days 04:00:00,64
17,122,127,2030.983078,2027.3403184183742,2027.3403184183742,2039.2871886659639,-61.92691288763854,-0.0017935942554543338,2024-01-11 10:00:00,2024-01-11 15:00:00,sl,0 days 05:00:00,63
65,118,127,2032.273207,2029.2191544173254,2029.2191544173254,2052.018878652834,-198.51341787384627,-0.0015027765814926708,2024-01-11 06:00:00,2024-01-11 15:00:00,sl,0 days 09:00:00,61
65,117,127,2031.123092,2028.0707677832136,2028.0707677832136,2050.8575890759735,-198.4010740911208,-0.0015027765814926708,2024-01-11 05:00:00,2024-01-11 15:00:00,sl,0 days 10:00:00,60
14,111,127,2023.7923589999998,2038.105797659311,2019.2619036621554,2038.105797659311,200.38814123035763,0.007072582617311474,2024-01-10 22:00:00,2024-01-11 15:00:00,tp,0 days 17:00:00,57
14,127,128,2029.472927,2025.1298491944121,2025.1298491944121,2041.6561094944793,-60.803089278230345,-0.0021400028292113404,2024-01-11 15:00:00,2024-01-11 16:00:00,sl,0 days 01:00:00,65
4,128,129,2029.90297,2025.5589719011755,2025.5589719011755,2052.412679177766,-17.375992395298454,-0.0021400028292113404,2024-01-11 16:00:00,2024-01-11 17:00:00,sl,0 days 01:00:00,66
4,129,130,2029.262906,2024.9202776399463,2024.9202776399463,2051.7655174717634,-17.37051344021438,-0.0021400028292113404,2024-01-11 17:00:00,2024-01-11 18:00:00,sl,0 days 01:00:00,67
40,131,133,2014.541434,2025.0767003733997,2009.223818891655,2025.0767003733997,421.41065493598944,0.005229610171125332,2024-01-11 19:00:00,2024-01-11 21:00:00,tp,0 days 02:00:00,69
49,132,133,2017.2017,2024.3422468886988,2013.224489267225,2024.3422468886988,349.8867975462381,0.003539827915423066,2024-01-11 20:00:00,2024-01-11 21:00:00,tp,0 days 01:00:00,70
73,130,136,2016.8716670000001,2031.4633568473434,2011.6148168179006,2031.4633568473434,1065.1933588560632,0.007234813243743865,2024-01-11 18:00:00,2024-01-12 01:00:00,tp,0 days 07:00:00,68
6,136,137,2035.413521,2031.911904091822,2031.911904091822,2039.7052866256147,-21.00970144906796,-0.0017203466873196849,2024-01-12 01:00:00,2024-01-12 02:00:00,sl,0 days 01:00:00,74
14,133,142,2026.662646,2036.5367714934428,2022.2150879097758,2036.5367714934428,138.23775690819866,0.004872111060482132,2024-01-11 21:00:00,2024-01-12 07:00:00,tp,0 days 10:00:00,71
22,134,144,2027.70275,2038.3567353760507,2024.655565793072,2038.3567353760507,234.3876782731163,0.005254214591389639,2024-01-11 22:00:00,2024-01-12 09:00:00,tp,0 days 11:00:00,72
22,135,144,2028.332813,2038.990108862259,2025.2846819491506,2038.990108862259,234.46050896969655,0.005254214591389639,2024-01-11 23:00:00,2024-01-12 09:00:00,tp,0 days 10:00:00,73
6,138,147,2034.0433839999998,2043.0002950890848,2030.6845381290807,2043.0002950890848,53.74146653450998,0.004403500515053338,2024-01-12 03:00:00,2024-01-12 12:00:00,tp,0 days 09:00:00,76
5,142,147,2036.213601,2046.0745663596522,2032.368598638049,2046.0745663596522,49.304826798261274,0.004842795154108348,2024-01-12 07:00:00,2024-01-12 12:00:00,tp,0 days 05:00:00,77
3,137,148,2031.3231119999998,2047.2028244922665,2025.862613576229,2047.2028244922665,47.63913747679999,0.0078174232343724,2024-01-12 02:00:00,2024-01-12 13:00:00,tp,0 days 11:00:00,75
22,144,148,2037.773757,2046.4711711868392,2034.8236741405822,2046.4711711868392,191.34311211046452,0.004268096081305739,2024-01-12 09:00:00,2024-01-12 13:00:00,tp,0 days 04:00:00,78
22,145,149,2038.913871,2049.6267620115946,2035.8498389829808,2049.6267620115946,235.68360225508104,0.005254214591389417,2024-01-12 10:00:00,2024-01-12 14:00:00,tp,0 days 04:00:00,79
29,147,150,2046.044584,2056.027110717821,2043.6735471075135,2056.027110717821,289.49327481680825,0.004878939000588778,2024-01-12 12:00:00,2024-01-12 15:00:00,tp,0 days 03:00:00,80
